date,close
2011-01-31,44.28
2011-02-28,45.72
2011-03-31,45.45
2011-04-29,47.72
2011-05-31,46.27
2011-06-30,45.04
2011-07-29,43.83
2011-08-31,39.97
2011-09-30,35.05
2011-10-31,38.98
2011-11-30,38.14
2011-12-30,36.81
2012-01-31,39.11
2012-02-29,41.03
2012-03-30,40.83
2012-04-30,40.15
2012-05-31,35.69
2012-06-29,37.19
2012-07-31,37.29
2012-08-31,38.06
2012-09-28,39.39
2012-10-31,39.64
2012-11-30,40.59
2012-12-31,41.88
2013-01-31,43.06
2013-02-28,42.55
2013-03-28,42.86
2013-04-30,44.36
2013-05-31,43.0
2013-06-28,40.71
2013-07-31,42.56
2013-08-30,41.88
2013-09-30,44.82
2013-10-31,46.4
2013-11-29,46.49
2013-12-31,46.67
2014-01-31,43.84
2014-02-28,46.33
2014-03-31,46.57
2014-04-30,47.35
2014-05-30,48.15
2014-06-30,48.02
2014-07-31,47.28
2014-08-29,47.78
2014-09-30,45.48
2014-10-31,45.38
2014-11-28,45.34
2014-12-31,43.02
2015-01-30,42.87
2015-02-27,45.25
2015-03-31,44.7
2015-04-30,46.84
2015-05-29,46.31
2015-06-30,44.18
2015-07-31,44.08
2015-08-31,40.8
2015-09-30,39.05
2015-10-30,41.61
2015-11-30,41.07
2015-12-31,39.61
2016-01-29,37.41
2016-02-29,36.49
2016-03-31,39.48
2016-04-29,40.48
2016-05-31,39.99
2016-06-30,38.96
2016-07-29,40.58
2016-08-31,40.87
2016-09-30,41.48
2016-10-31,40.75
2016-11-30,39.92
2016-12-30,40.27
2017-01-31,41.81
2017-02-28,42.29
2017-03-31,43.62
2017-04-28,44.56
2017-05-31,45.93
2017-06-30,45.59
2017-07-31,47.19
2017-08-31,47.39
2017-09-29,48.35
2017-10-31,49.28
2017-11-30,49.49
2017-12-29,49.95
2018-01-31,52.68
2018-02-28,50.02
2018-03-29,49.69
2018-04-30,49.97
2018-05-31,49.04
2018-06-29,47.25
2018-07-31,48.6
2018-08-31,47.48
2018-09-28,47.69
2018-10-31,43.89
2018-11-30,44.52
2018-12-31,41.96
2019-01-31,45.12
2019-02-28,45.83
2019-03-29,46.27
2019-04-30,47.57
2019-05-31,44.9
2019-06-28,46.76
2019-07-31,45.95
2019-08-30,44.85
2019-09-30,46.05
2019-10-31,47.47
2019-11-29,47.94
2019-12-31,49.12
2020-01-31,47.44
2020-02-28,44.28
2020-03-31,37.65
2020-04-30,40.05
2020-05-29,41.89
2020-06-30,43.24
2020-07-31,44.98
2020-08-31,46.85
2020-09-30,45.99
2020-10-30,45.05
2020-11-30,50.73
2020-12-31,53.04
2021-01-29,53.19
2021-02-26,54.24
2021-03-31,55.18
2021-04-30,56.59
2021-05-28,58.34
2021-06-30,57.51
2021-07-30,56.56
2021-08-31,57.38
2021-09-30,55.41
2021-10-29,57.07
2021-11-30,54.68
2021-12-31,55.6
2022-01-31,54.18
2022-02-28,52.37
2022-03-31,52.27
2022-04-29,48.77
2022-05-31,49.65
2022-06-30,45.0
2022-07-29,46.52
2022-08-31,44.27
2022-09-30,40.01
2022-10-31,41.42
2022-11-30,46.96
2022-12-30,45.5
2023-01-31,49.56
2023-02-28,47.32
2023-03-31,48.77
2023-04-28,49.68
2023-05-31,47.82
2023-06-30,49.22
2023-07-31,51.15
2023-08-31,48.72
2023-09-29,47.01
2023-10-31,45.54
2023-11-30,49.31
2023-12-29,51.04
2024-01-31,50.16
2024-02-29,51.68
2024-03-28,53.39
2024-04-30,52.09
2024-05-31,54.15
2024-06-28,53.13
2024-07-31,54.28
2024-08-30,55.75
2024-09-30,57.22
2024-10-31,54.56
2024-11-29,54.41
2024-12-31,52.16
2025-01-31,53.98
2025-02-28,55.32
2025-03-31,55.45
2025-04-30,56.95
2025-05-30,59.48
2025-06-30,60.94
2025-07-31,60.26
2025-08-29,62.74
2025-09-30,65.01
2025-10-31,66.35
2025-11-28,66.49
2025-12-31,67.13
2026-01-30,70.78
2026-02-27,74.45
2026-03-31,68.47
2026-04-08,72.26
