date,close
2011-01-31,59.44
2011-02-28,61.55
2011-03-31,60.08
2011-04-29,63.46
2011-05-31,62.06
2011-06-30,60.14
2011-07-29,58.71
2011-08-31,53.57
2011-09-30,47.78
2011-10-31,52.38
2011-11-30,51.24
2011-12-30,49.53
2012-01-31,52.14
2012-02-29,54.66
2012-03-30,54.89
2012-04-30,53.75
2012-05-31,47.76
2012-06-29,49.96
2012-07-31,50.0
2012-08-31,51.6
2012-09-28,53.0
2012-10-31,53.58
2012-11-30,55.07
2012-12-31,56.86
2013-01-31,58.98
2013-02-28,58.22
2013-03-28,58.98
2013-04-30,61.94
2013-05-31,60.07
2013-06-28,57.3
2013-07-31,60.35
2013-08-30,59.17
2013-09-30,63.8
2013-10-31,65.88
2013-11-29,66.24
2013-12-31,67.1
2014-01-31,63.61
2014-02-28,67.51
2014-03-31,67.2
2014-04-30,68.32
2014-05-30,69.41
2014-06-30,68.37
2014-07-31,66.59
2014-08-29,66.71
2014-09-30,64.12
2014-10-31,63.95
2014-11-28,63.99
2014-12-31,60.84
2015-01-30,61.22
2015-02-27,65.1
2015-03-31,64.17
2015-04-30,66.51
2015-05-29,66.64
2015-06-30,63.49
2015-07-31,64.78
2015-08-31,59.97
2015-09-30,57.32
2015-10-30,61.11
2015-11-30,60.65
2015-12-31,58.72
2016-01-29,55.48
2016-02-29,53.63
2016-03-31,57.16
2016-04-29,58.43
2016-05-31,58.38
2016-06-30,55.82
2016-07-29,58.04
2016-08-31,58.35
2016-09-30,59.13
2016-10-31,57.82
2016-11-30,56.79
2016-12-30,57.73
2017-01-31,59.63
2017-02-28,60.34
2017-03-31,62.29
2017-04-28,63.8
2017-05-31,66.06
2017-06-30,65.2
2017-07-31,66.93
2017-08-31,66.9
2017-09-29,68.48
2017-10-31,69.63
2017-11-30,70.11
2017-12-29,70.31
2018-01-31,73.84
2018-02-28,70.27
2018-03-29,69.68
2018-04-30,70.74
2018-05-31,69.4
2018-06-29,66.97
2018-07-31,68.88
2018-08-31,67.34
2018-09-28,67.99
2018-10-31,62.46
2018-11-30,62.77
2018-12-31,58.78
2019-01-31,62.68
2019-02-28,64.27
2019-03-29,64.86
2019-04-30,66.76
2019-05-31,63.4
2019-06-28,65.73
2019-07-31,64.45
2019-08-30,63.21
2019-09-30,65.21
2019-10-31,67.42
2019-11-29,68.18
2019-12-31,69.44
2020-01-31,67.48
2020-02-28,62.24
2020-03-31,53.46
2020-04-30,56.57
2020-05-29,59.64
2020-06-30,60.87
2020-07-31,62.05
2020-08-31,64.98
2020-09-30,63.65
2020-10-30,61.39
2020-11-30,70.15
2020-12-31,72.96
2021-01-29,72.39
2021-02-26,74.01
2021-03-31,75.87
2021-04-30,78.11
2021-05-28,80.83
2021-06-30,78.88
2021-07-30,79.49
2021-08-31,80.64
2021-09-30,78.01
2021-10-29,80.49
2021-11-30,76.84
2021-12-31,78.68
2022-01-31,75.82
2022-02-28,73.22
2022-03-31,73.6
2022-04-29,68.64
2022-05-31,70.01
2022-06-30,62.49
2022-07-29,65.72
2022-08-31,61.7
2022-09-30,56.01
2022-10-31,59.31
2022-11-30,67.12
2022-12-30,65.64
2023-01-31,71.55
2023-02-28,69.35
2023-03-31,71.52
2023-04-28,73.62
2023-05-31,70.67
2023-06-30,72.5
2023-07-31,74.46
2023-08-31,71.53
2023-09-29,68.92
2023-10-31,66.92
2023-11-30,72.42
2023-12-29,75.35
2024-01-31,75.01
2024-02-29,77.25
2024-03-28,79.86
2024-04-30,77.27
2024-05-31,81.18
2024-06-28,78.33
2024-07-31,80.36
2024-08-30,82.98
2024-09-30,83.63
2024-10-31,79.22
2024-11-29,78.97
2024-12-31,75.61
2025-01-31,79.24
2025-02-28,81.58
2025-03-31,81.73
2025-04-30,84.75
2025-05-30,88.81
2025-06-30,89.39
2025-07-31,87.52
2025-08-29,91.48
2025-09-30,93.37
2025-10-31,94.49
2025-11-28,95.19
2025-12-31,96.03
2026-01-30,100.74
2026-02-27,105.38
2026-03-31,97.13
2026-04-08,102.19
