date,close
2011-01-31,20.25
2011-02-28,21.06
2011-03-31,21.51
2011-04-29,22.2
2011-05-31,21.94
2011-06-30,21.48
2011-07-29,20.65
2011-08-31,19.02
2011-09-30,16.99
2011-10-31,19.5
2011-11-30,19.15
2011-12-30,19.32
2012-01-31,20.57
2012-02-29,21.52
2012-03-30,21.83
2012-04-30,21.65
2012-05-31,20.14
2012-06-29,20.49
2012-07-31,20.48
2012-08-31,21.24
2012-09-28,21.5
2012-10-31,21.44
2012-11-30,21.88
2012-12-31,22.03
2013-01-31,23.7
2013-02-28,24.02
2013-03-28,25.02
2013-04-30,25.16
2013-05-31,26.03
2013-06-28,25.36
2013-07-31,27.15
2013-08-30,26.36
2013-09-30,27.8
2013-10-31,28.87
2013-11-29,29.4
2013-12-31,27.52
2014-01-31,27.0
2014-02-28,28.33
2014-03-31,28.02
2014-04-30,27.23
2014-05-30,27.88
2014-06-30,28.93
2014-07-31,27.79
2014-08-29,28.8
2014-09-30,27.52
2014-10-31,28.5
2014-11-28,29.14
2014-12-31,28.13
2015-01-30,27.5
2015-02-27,29.06
2015-03-31,29.12
2015-04-30,28.68
2015-05-29,29.41
2015-06-30,29.07
2015-07-31,28.9
2015-08-31,27.19
2015-09-30,25.59
2015-10-30,27.26
2015-11-30,27.67
2015-12-31,25.59
2016-01-29,23.36
2016-02-29,23.62
2016-03-31,25.25
2016-04-29,25.53
2016-05-31,26.1
2016-06-30,25.91
2016-07-29,27.42
2016-08-31,27.54
2016-09-30,27.43
2016-10-31,26.52
2016-11-30,28.86
2016-12-30,29.58
2017-01-31,29.91
2017-02-28,30.6
2017-03-31,30.36
2017-04-28,30.66
2017-05-31,30.2
2017-06-30,30.98
2017-07-31,31.04
2017-08-31,30.46
2017-09-29,31.91
2017-10-31,32.57
2017-11-30,33.73
2017-12-29,33.36
2018-01-31,34.27
2018-02-28,32.83
2018-03-29,33.16
2018-04-30,33.19
2018-05-31,34.79
2018-06-29,34.88
2018-07-31,35.61
2018-08-31,36.96
2018-09-28,36.15
2018-10-31,32.59
2018-11-30,33.48
2018-12-31,29.42
2019-01-31,32.54
2019-02-28,33.92
2019-03-29,33.33
2019-04-30,34.62
2019-05-31,31.8
2019-06-28,34.07
2019-07-31,34.43
2019-08-30,32.99
2019-09-30,33.89
2019-10-31,34.36
2019-11-29,35.39
2019-12-31,36.23
2020-01-31,35.23
2020-02-28,31.92
2020-03-31,25.33
2020-04-30,28.86
2020-05-29,30.98
2020-06-30,31.25
2020-07-31,32.67
2020-08-31,33.83
2020-09-30,32.63
2020-10-30,33.34
2020-11-30,38.12
2020-12-31,40.4
2021-01-29,41.02
2021-02-26,43.76
2021-03-31,45.76
2021-04-30,47.78
2021-05-28,47.87
2021-06-30,47.21
2021-07-30,47.36
2021-08-31,48.3
2021-09-30,46.16
2021-10-29,48.87
2021-11-30,47.43
2021-12-31,49.74
2022-01-31,46.15
2022-02-28,46.65
2022-03-31,47.16
2022-04-29,43.79
2022-05-31,44.14
2022-06-30,39.69
2022-07-29,44.02
2022-08-31,42.65
2022-09-30,38.56
2022-10-31,42.59
2022-11-30,45.21
2022-12-30,42.5
2023-01-31,46.45
2023-02-28,45.59
2023-03-31,43.94
2023-04-28,43.61
2023-05-31,42.24
2023-06-30,45.89
2023-07-31,47.8
2023-08-31,46.38
2023-09-29,43.79
2023-10-31,41.47
2023-11-30,45.0
2023-12-29,48.72
2024-01-31,47.88
2024-02-29,50.64
2024-03-28,53.34
2024-04-30,50.16
2024-05-31,52.38
2024-06-28,51.3
2024-07-31,54.32
2024-08-30,54.23
2024-09-30,54.68
2024-10-31,54.28
2024-11-29,59.14
2024-12-31,54.69
2025-01-31,56.72
2025-02-28,54.33
2025-03-31,51.18
2025-04-30,49.94
2025-05-30,52.69
2025-06-30,54.38
2025-07-31,55.25
2025-08-29,57.11
2025-09-30,57.19
2025-10-31,56.91
2025-11-28,58.11
2025-12-31,57.91
2026-01-30,60.25
2026-02-27,62.73
2026-03-31,59.22
2026-04-08,61.83
