date,close
2011-01-31,57.17
2011-02-28,59.86
2011-03-31,58.47
2011-04-29,61.83
2011-05-31,62.68
2011-06-30,60.1
2011-07-29,61.04
2011-08-31,57.61
2011-09-30,50.87
2011-10-31,58.14
2011-11-30,55.93
2011-12-30,58.0
2012-01-31,61.7
2012-02-29,60.99
2012-03-30,63.65
2012-04-30,65.47
2012-05-31,62.52
2012-06-29,65.43
2012-07-31,66.74
2012-08-31,66.73
2012-09-28,64.97
2012-10-31,64.38
2012-11-30,64.21
2012-12-31,65.8
2013-01-31,68.26
2013-02-28,69.09
2013-03-28,70.53
2013-04-30,75.28
2013-05-31,70.78
2013-06-28,68.72
2013-07-31,69.34
2013-08-30,64.5
2013-09-30,66.14
2013-10-31,69.13
2013-11-29,65.5
2013-12-31,64.56
2014-01-31,67.32
2014-02-28,70.73
2014-03-31,70.62
2014-04-30,72.94
2014-05-30,74.69
2014-06-30,74.84
2014-07-31,74.9
2014-08-29,77.18
2014-09-30,71.85
2014-10-31,78.99
2014-11-28,80.57
2014-12-31,81.0
2015-01-30,86.55
2015-02-27,83.37
2015-03-31,84.31
2015-04-30,79.38
2015-05-29,79.14
2015-06-30,74.69
2015-07-31,79.0
2015-08-31,74.03
2015-09-30,75.54
2015-10-30,79.89
2015-11-30,79.39
2015-12-31,79.73
2016-01-29,76.99
2016-02-29,76.71
2016-03-31,83.8
2016-04-29,81.83
2016-05-31,83.67
2016-06-30,88.67
2016-07-29,92.45
2016-08-31,88.97
2016-09-30,86.74
2016-10-31,81.76
2016-11-30,80.39
2016-12-30,82.53
2017-01-31,82.37
2017-02-28,85.26
2017-03-31,82.59
2017-04-28,82.79
2017-05-31,82.19
2017-06-30,83.23
2017-07-31,84.26
2017-08-31,84.04
2017-09-29,83.09
2017-10-31,82.2
2017-11-30,84.39
2017-12-29,82.98
2018-01-31,79.45
2018-02-28,73.35
2018-03-29,75.47
2018-04-30,76.09
2018-05-31,78.89
2018-06-29,81.45
2018-07-31,81.94
2018-08-31,84.05
2018-09-28,80.68
2018-10-31,78.32
2018-11-30,81.98
2018-12-31,74.57
2019-01-31,83.41
2019-02-28,83.99
2019-03-29,86.91
2019-04-30,86.77
2019-05-31,86.89
2019-06-28,87.4
2019-07-31,88.89
2019-08-30,92.22
2019-09-30,93.25
2019-10-31,94.3
2019-11-29,93.07
2019-12-31,92.79
2020-01-31,93.93
2020-02-28,87.33
2020-03-31,69.85
2020-04-30,76.11
2020-05-29,77.43
2020-06-30,78.53
2020-07-31,81.39
2020-08-31,81.75
2020-09-30,78.96
2020-10-30,76.59
2020-11-30,84.0
2020-12-31,84.93
2021-01-29,84.96
2021-02-26,87.87
2021-03-31,91.86
2021-04-30,99.08
2021-05-28,99.88
2021-06-30,101.79
2021-07-30,106.29
2021-08-31,108.58
2021-09-30,101.78
2021-10-29,109.04
2021-11-30,106.74
2021-12-31,116.01
2022-01-31,106.24
2022-02-28,102.54
2022-03-31,108.37
2022-04-29,103.94
2022-05-31,99.07
2022-06-30,91.11
2022-07-29,98.96
2022-08-31,93.01
2022-09-30,80.17
2022-10-31,82.98
2022-11-30,88.08
2022-12-30,82.48
2023-01-31,91.06
2023-02-28,85.72
2023-03-31,83.04
2023-04-28,83.3
2023-05-31,80.0
2023-06-30,83.56
2023-07-31,85.26
2023-08-31,82.38
2023-09-29,75.66
2023-10-31,72.92
2023-11-30,81.73
2023-12-29,88.36
2024-01-31,83.89
2024-02-29,85.55
2024-03-28,86.48
2024-04-30,79.61
2024-05-31,83.24
2024-06-28,83.76
2024-07-31,90.41
2024-08-30,95.13
2024-09-30,97.42
2024-10-31,94.15
2024-11-29,98.16
2024-12-31,89.08
2025-01-31,90.55
2025-02-28,93.9
2025-03-31,90.54
2025-04-30,88.33
2025-05-30,89.32
2025-06-30,89.06
2025-07-31,89.14
2025-08-29,92.24
2025-09-30,91.42
2025-10-31,89.18
2025-11-28,91.34
2025-12-31,88.49
2026-01-30,90.8
2026-02-27,95.69
2026-03-31,88.7
2026-04-08,92.12
